Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Relative_Humidity,zenith_deg,azimuth_deg
2024,7,5,22,0,0,0,0,77.07000000000001,116.96785337761021,321.1645864925018
2024,7,5,22,30,0,0,0,78.35000000000001,120.77816113887508,327.76456733893565
2024,7,5,23,0,0,0,0,79.18,123.91607784610441,335.0689470106942
2024,7,5,23,30,0,0,0,80.12,126.262593878074,343.0289383392186
2024,7,6,0,0,0,0,0,80.66,127.71027255333021,351.504546807368
2024,7,6,0,30,0,0,0,81.13,128.18325315138094,0.2633552602653708
2024,7,6,1,0,0,0,0,81.74,127.65495218326639,9.013927743107104
2024,7,6,1,30,0,0,0,82.22,126.15498051675749,17.46665716561637
2024,7,6,2,0,0,0,0,82.85000000000001,123.7614606845802,25.393709310784004
2024,7,6,2,30,0,0,0,83.34,120.58296617406853,32.66046232444796
2024,7,6,3,0,0,0,0,83.78,116.73862950298263,39.22263788208426
2024,7,6,3,30,0,0,0,84.28,112.3429997142194,45.10269284015334
2024,7,6,4,0,0,0,0,84.47,107.49763143879983,50.362233044111804
2024,7,6,4,30,0,0,0,85.05,102.2881677948767,55.080136027199615
2024,7,6,5,0,0,0,0,86.32000000000001,96.78474501884195,59.3387314871776
2024,7,6,5,30,0,0,0,82.34,91.04393150933151,63.2166651444125
2024,7,6,6,0,31,174,46,79.47,84.94854691787135,66.78623523724173
2024,7,6,6,30,59,365,129,75.4,78.94078228879525,70.11341898543992
2024,7,6,7,0,79,503,228,69.11,72.75549243920433,73.25950851496214
2024,7,6,7,30,94,598,333,66,66.45441529945523,76.28391735473417
2024,7,6,8,0,106,667,439,61.54,60.0664604360026,79.24829820049803
2024,7,6,8,30,116,719,543,59.14,53.612437084629185,82.22280596092634
2024,7,6,9,0,124,762,642,56.56,47.1102643106832,85.29655968526816
2024,7,6,9,30,130,792,732,55.300000000000004,40.577673527236726,88.59710976732208
2024,7,6,10,0,123,837,816,53.88,34.0353839170614,92.33095561918452
2024,7,6,10,30,127,853,883,52.980000000000004,27.513337416962052,96.87898957341787
2024,7,6,11,0,130,865,937,51.21,21.067203825848694,103.05773137962723
2024,7,6,11,30,132,874,976,50.59,14.835096676323147,112.98390840381421
2024,7,6,12,0,132,879,1000,49.18,9.301961704990461,133.51428181674635
2024,7,6,12,30,133,881,1008,48.910000000000004,6.60478141445742,181.63498405505518
2024,7,6,13,0,131,880,1000,48.19,9.566517869327669,228.11666594010413
2024,7,6,13,30,130,874,973,48.19,15.16762545354544,247.69550122074918
2024,7,6,14,0,129,865,933,48.11,21.41902942312673,257.3106285122408
2024,7,6,14,30,126,852,879,48.65,27.872570806793632,263.3632925809791
2024,7,6,15,0,121,834,810,49.21,34.39797079764532,267.8506233783778
2024,7,6,15,30,116,812,730,50.050000000000004,40.94182119447739,271.5521250141904
2024,7,6,16,0,118,766,636,51.19,47.474982489535904,274.8347415407929
2024,7,6,16,30,110,727,538,52.06,53.97704034408047,277.8989098526136
2024,7,6,17,0,100,677,434,53.78,60.43035152114291,280.86928969305416
2024,7,6,17,30,89,607,328,56,66.81694645696237,283.8335649817901
2024,7,6,18,0,74,511,223,59.7,73.1157856514308,286.8612068536364
2024,7,6,18,30,55,373,124,62.14,79.29718675161729,290.0136223567881
2024,7,6,19,0,29,172,43,67.57000000000001,85.29484943101201,293.35026956546056
2024,7,6,19,30,0,0,0,69.21000000000001,91.39492762707958,296.9327011175316
2024,7,6,20,0,0,0,0,74.18,97.12959119251899,300.8273275023054
2024,7,6,20,30,0,0,0,75.48,102.62481136087675,305.10700851809673
2024,7,6,21,0,0,0,0,80.3,107.82337936015472,309.85100179644996
2024,7,6,21,30,0,0,0,80.77,112.65435323580787,315.1421487062595
2024,7,6,22,0,0,0,0,83.63,117.03113304861844,321.0594622504917
2024,7,6,22,30,0,0,0,84.12,120.85113792028729,327.66387175728494
2024,7,6,23,0,0,0,0,85.78,123.99892189381836,334.97580968065756
2024,7,6,23,30,0,0,0,86.28,126.35492101912348,342.94724680087523
2024,7,7,0,0,0,0,0,87.52,127.81100078004039,351.43835335876935
2024,7,7,0,30,0,0,0,88.03,128.29060829612274,0.21595024674167007
2024,7,7,1,0,0,0,0,88.69,127.76668032057074,8.986956944874237
2024,7,7,1,30,0,0,0,89.21000000000001,126.26871040950499,17.459769274354812
2024,7,7,2,0,0,0,0,90.13,123.87506451500204,25.40490562711159
2024,7,7,2,30,0,0,0,90.66,120.6947843060514,32.68686604047798
2024,7,7,3,0,0,0,0,91.51,116.84752636075925,39.26124968306192
2024,7,7,3,30,0,0,0,92.05,112.44830167245345,45.15088170190836
2024,7,7,4,0,0,0,0,93.54,107.59901696695789,50.417945569885546
2024,7,7,4,30,0,0,0,93.54,102.3855584363685,55.141920054735806
2024,7,7,5,0,0,0,0,94.62,96.87821843933507,59.405674091647086
2024,7,7,5,30,0,0,0,92.51,91.13366035312174,63.288310484074145
2024,7,7,6,0,24,0,24,90.49,85.03259472527655,66.86251527583067
2024,7,7,6,30,94,66,107,86.88,79.02316000264199,70.19461091375592
2024,7,7,7,0,144,126,181,79.58,72.83523321791637,73.34622466364385
2024,7,7,7,30,212,74,242,76,66.53161430061682,76.37713266552748
2024,7,7,8,0,119,618,427,67.15,60.14139989415127,79.34942470490722
2024,7,7,8,30,131,672,529,64.52,53.68549291410694,82.33383340795109
2024,7,7,9,0,139,716,626,60.78,47.18191846585828,85.420299474199
2024,7,7,9,30,147,747,714,58.76,40.64857447314853,88.73761241747513
2024,7,7,10,0,155,768,791,58.49,34.10647277424517,92.4942291435197
2024,7,7,10,30,160,787,858,56.88,27.586110352968788,97.07420408183918
2024,7,7,11,0,163,802,911,55.620000000000005,21.14430223510017,103.29874546154758
2024,7,7,11,30,510,182,686,55.01,14.921712504681963,113.28562068943779
2024,7,7,12,0,466,53,519,54.2,9.40771345345766,133.8123997962503
2024,7,7,12,30,522,203,723,54.2,6.714295497186441,181.29374474190985
2024,7,7,13,0,514,261,771,54.14,9.619630682667207,227.49403992651665
2024,7,7,13,30,163,811,946,54.44,15.189437619750294,247.25771224349694
2024,7,7,14,0,158,806,907,54.65,21.42816186922208,256.9918343238764
2024,7,7,14,30,153,791,853,55.26,27.87635244831946,263.1133490574355
2024,7,7,15,0,145,777,787,56.29,34.39980587326662,267.6434856499574
2024,7,7,15,30,139,753,708,57.550000000000004,40.943585040567335,271.3733651076927
2024,7,7,16,0,132,721,620,59.07,47.47786531047918,274.6756664953091
2024,7,7,16,30,123,680,523,60.75,53.98189589754257,277.75389196657443
2024,7,7,17,0,111,629,422,62.980000000000004,60.437861867819834,280.73446432759306
2024,7,7,17,30,98,557,317,65.51,66.82770801287998,283.70614710505964
2024,7,7,18,0,80,468,216,68.82000000000001,73.13035381985279,286.739111136889
2024,7,7,18,30,58,330,120,71.62,79.31607314011497,289.89524522485675
2024,7,7,19,0,35,3,35,75.87,85.31822970394931,293.23436639458953
2024,7,7,19,30,0,0,0,77.63,91.42463521537826,296.8183270400265
2024,7,7,20,0,0,0,0,82.59,97.16566726932115,300.71382871170323
2024,7,7,20,30,0,0,0,83.07000000000001,102.66801412086517,304.9940615485988
2024,7,7,21,0,0,0,0,85.57000000000001,107.87450637836662,309.7387037145137
2024,7,7,21,30,0,0,0,86.07000000000001,112.71420121111358,315.03116003771385
2024,7,7,22,0,0,0,0,87.07000000000001,117.10041957104936,320.9511908437387
2024,7,7,22,30,0,0,0,87.58,120.93037293097733,327.5606503706397
2024,7,7,23,0,0,0,0,88.21000000000001,124.08822820369494,334.88095914931466
2024,7,7,23,30,0,0,0,89.24,126.4538341283158,342.8648574534499
2024,7,8,0,0,0,0,0,89.96000000000001,127.91832457428262,351.3726460516391
2024,7,8,0,30,0,0,0,90.49,128.40443053676856,0.170293882385522
2024,7,8,1,0,0,0,0,91.37,127.88460572717885,8.962948833009023
2024,7,8,1,30,0,0,0,92.35000000000001,126.3882474036383,17.456890651853428
2024,7,8,2,0,0,0,0,93.43,123.99400315266881,25.420921628711255
2024,7,8,2,30,0,0,0,94.53,120.81142527450378,32.71865695266797
2024,7,8,3,0,0,0,0,95.79,116.96073031401568,39.305610971054875
2024,7,8,3,30,0,0,0,96.92,112.55741598744865,45.205032960250264
2024,7,8,4,0,0,0,0,98.28,107.70375524859139,50.47973889004419
2024,7,8,4,30,0,0,0,98.96000000000001,102.48588361896283,55.209854083174605
2024,7,8,5,0,0,0,0,99.75,96.97425091544493,59.478821181192814
2024,7,8,5,30,0,0,0,96.3,91.22561422287744,63.366225728176744
2024,7,8,6,0,31,147,43,94.77,85.11846912751683,66.94516140456415
2024,7,8,6,30,60,340,124,90.47,79.10718999005108,70.28231281542872
2024,7,8,7,0,80,482,222,85.91,72.9164158789498,73.43965909642418
2024,7,8,7,30,162,321,290,82.06,66.6100695770293,76.47735823532275
2024,7,8,8,0,204,316,361,71.98,60.21744245721392,79.45796205018979
2024,7,8,8,30,245,297,421,68.41,53.759535463615435,82.45281603922979
2024,7,8,9,0,248,431,541,59.07,47.25448644290688,85.55273514411033
2024,7,8,9,30,131,777,720,57.13,40.720371923697954,88.8878306915758
2024,7,8,10,0,139,797,798,54.04,34.178518789836005,92.668653340005
2024,7,8,10,30,143,814,864,53.15,27.660022318662406,97.28265356039844
2024,7,8,11,0,446,121,558,51.56,21.222932504785476,103.556130940056
2024,7,8,11,30,387,4,390,50.99,15.010665544126255,113.60843452137385
2024,7,8,12,0,157,832,977,50.5,9.517447623137258,134.13713567173414
2024,7,8,12,30,502,304,805,50.5,6.830527682502037,180.975199980698
2024,7,8,13,0,498,152,647,50.72,9.67956967282575,226.85825040258032
2024,7,8,13,30,293,540,814,51.29,15.216614209237434,246.8026526358169
2024,7,8,14,0,295,528,786,52.51,21.441838484750264,256.65869746467183
2024,7,8,14,30,264,562,761,53.68,27.884263391956537,262.8516599739427
2024,7,8,15,0,164,749,782,55.99,34.405566392367234,267.42647594450517
2024,7,8,15,30,157,722,702,57.89,40.94919003517218,271.18607980234344
2024,7,8,16,0,172,640,605,61.28,47.48457968408745,274.50905609181734
2024,7,8,16,30,160,593,509,63.39,53.99062437546463,277.6020845084555
2024,7,8,17,0,147,527,407,67.1,60.44932405046886,280.5934235234409
2024,7,8,17,30,128,448,304,69.49,66.84252957153856,283.5729646272848
2024,7,8,18,0,105,338,203,73.16,73.14911282938185,286.6116121565571
2024,7,8,18,30,95,21,99,75.71000000000001,79.33929226952222,289.7717618645202
2024,7,8,19,0,9,0,9,80.39,85.34602744459968,293.11361021954315
2024,7,8,19,30,0,0,0,81.88,91.45909633520536,296.6993279638257
2024,7,8,20,0,0,0,0,85.22,97.20672192441914,300.59592672398037
2024,7,8,20,30,0,0,0,86.21000000000001,102.71643908848466,304.87694857524883
2024,7,8,21,0,0,0,0,89.06,107.93111428692805,309.6225184718782
2024,7,8,21,30,0,0,0,89.58,112.77979720053548,314.91663731158997
2024,7,8,22,0,0,0,0,91.54,117.17571819618433,320.839851992219
2024,7,8,22,30,0,0,0,92.08,121.01586280191279,327.45498434401804
2024,7,8,23,0,0,0,0,92.89,124.18398443701196,334.7844793305652
2024,7,8,23,30,0,0,0,93.34,126.55931137643795,342.78185857400797
2024,7,9,0,0,0,0,0,94.02,128.03221188202053,351.3075186976034
2024,7,9,0,30,0,0,0,95.12,128.524676796518,0.12648503914033427
2024,7,9,1,0,0,0,0,95.71000000000001,128.00867382926936,8.942004398904487
2024,7,9,1,30,0,0,0,96.18,126.51352571022116,17.458119523055757
2024,7,9,2,0,0,0,0,96.55,124.11820079646974,25.44184759634834
2024,7,9,2,30,0,0,0,96.55,120.9328051815064,32.755913523980894
2024,7,9,3,0,0,0,0,96.59,117.07815159481359,39.35578645363904
2024,7,9,3,30,0,0,0,97.25,112.67024919018385,45.265197319287836
